Game	Coop
Among Us	Online
Battlefield 1	Online
Battlefield 4	Online
Battlefield V	Online
Biped	Online
Borderlands 2	Online
Cannibal Cuisine	Online
Crab Game	Online
Dead by Daylight	Online
Deep Rock Galactic	Online
Don’t Starve Together	Online
Escape Simulator	Online
Fall Guys: Ultimate Knockout	Online
Far Cry 3	Online
Halo: The Master Chief Collection	Online
Knockout City	Online
Left 4 Dead 2	Online
PAYDAY 2	Online
Raft	Online
Resident Evil 5	Online
Sid Meier’s Civilization VI	Online
SpeedRunners	Online
Tabletop Simulator	Online
Terraria	Online
Tick Tock: A Tale for Two	Online
Tom Clancy’s Splinter Cell: Conviction	Online
Tom Clancy’s Splinter Cell: Blacklist	Online
Tom Clancy's Ghost Recon Wildlands	Online
UNO	Online
We Were Here	Online
We Were Here Together	Online
We Were Here Too	Online
Cat Quest II	Local
Cook, Serve, Delicious! 2!!	Local
Cook, Serve, Delicious! 3?!	Local
Death Road to Canada	Local
Death Squared	Local
Diner Bros	Local
Keep Talking and Nobody Explodes	Local
Lovers in a Dangerous Spacetime	Local
Moving Out	Local
Out of Space	Local
Resident Evil: Revelations 2	Local
Rockets are Super Hard	Local
Tools Up!	Local
Unravel Two	Local
Untitled Goose Game	Local
A Way Out	Local
BattleBlock Theater	Online or Local
Castle Crashers	Online or Local
The Escapists 2	Online or Local
Human: Fall Flat	Online or Local
It Takes Two	Online or Local
Move or Die	Online or Local
Overcooked: All You Can Eat	Online or Local
PICO PARK	Online or Local
Portal 2	Online or Local
Pummel Party	Online or Local
Resident Evil 6	Online or Local
Ultimate Chicken Horse	Online or Local
Unrailed	Online or Local
Propnight	Online
